"小ZnS - RawData"
"波长(nm)","吸收值"
453.00,-0.01984
453.50,-0.01975
454.00,-0.01944
454.50,-0.01958
455.00,-0.01986
455.50,-0.01991
456.00,-0.01990
456.50,-0.01975
457.00,-0.01992
457.50,-0.02002
458.00,-0.02022
458.50,-0.02017
459.00,-0.02002
459.50,-0.02008
460.00,-0.02018
460.50,-0.02033
461.00,-0.02023
461.50,-0.02019
462.00,-0.02023
462.50,-0.02043
463.00,-0.02047
463.50,-0.02057
464.00,-0.02042
464.50,-0.02052
465.00,-0.02065
465.50,-0.02086
466.00,-0.02092
466.50,-0.02074
467.00,-0.02073
467.50,-0.02072
468.00,-0.02096
468.50,-0.02089
469.00,-0.02082
469.50,-0.02060
470.00,-0.02069
470.50,-0.02072
471.00,-0.02075
471.50,-0.02066
472.00,-0.02055
472.50,-0.02058
473.00,-0.02053
473.50,-0.02055
474.00,-0.02034
474.50,-0.02035
475.00,-0.02030
475.50,-0.02050
476.00,-0.02047
476.50,-0.02048
477.00,-0.02034
477.50,-0.02038
478.00,-0.02053
478.50,-0.02052
479.00,-0.02052
479.50,-0.02040
480.00,-0.02068
480.50,-0.02072
481.00,-0.02081
481.50,-0.02059
482.00,-0.02054
482.50,-0.02058
483.00,-0.02061
483.50,-0.02074
484.00,-0.02072
484.50,-0.02074
485.00,-0.02073
485.50,-0.02094
486.00,-0.02102
486.50,-0.02104
487.00,-0.02085
487.50,-0.02088
488.00,-0.02108
488.50,-0.02124
489.00,-0.02143
489.50,-0.02123
490.00,-0.02137
490.50,-0.02134
491.00,-0.02164
491.50,-0.02155
492.00,-0.02160
492.50,-0.02156
493.00,-0.02163
493.50,-0.02169
494.00,-0.02179
494.50,-0.02184
495.00,-0.02178
495.50,-0.02180
496.00,-0.02190
496.50,-0.02223
497.00,-0.02219
497.50,-0.02219
498.00,-0.02205
498.50,-0.02226
499.00,-0.02228
499.50,-0.02229
500.00,-0.02216
